Sezione 1 ;Sezione 2 ;Domanda;Sotto domanda;Risposta 
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;Open reservation - sessione di recupero a.a. 2022-23;Open reservation - sessione di recupero a.a. 2022-24;"Per far fronte con flessibilità alle necessità degli studenti del Diritto allo Studio Universitario, compatibilmente con le tempistiche delle domande alloggi a.a. 2022-23, è stata introdotta una sessione Open reservation ""di recupero"" che consentirà agli studenti risultati idonei per la Borsa di Studio ISU Bocconia.a. 2022-23durante l'autunno 2022 di richiedere il cambio tariffazione alloggio rispetto alla tariffa già applicata per l'a.a. 2022-23 (se già assegnatari di alloggio a tariffa intera) oppure la nuova ammissione in alloggio a tariffa agevolata per l'a.a. 2022-23 (se non ancora assegnatari di alloggio).

 

OPEN RESERVATION SESSIONE DI RECUPERO A.A. 2022-23: ASSEGNAZIONI TERMINATE

 

Potranno partecipare alla Open reservation — sessione di recupero tariffe agevolate esclusivamente gli studenti risultati idonei ISU per l'a.a. 2022-2023
 

Partecipando alla Open reservation—sessione di recupero, sarà possibile presentare una delle seguenti due richieste:

1. Richiesta di cambio tariffazione per l'a.a. 2022-23

Questa richiesta potrà essere presentata esclusivamente da studenti:
-assegnatari di un alloggio a tariffa intera per l’a.a. 2022-2023 (in qualunque precedente sessione di assegnazione)
-risultati idonei per la Borsa di Studio ISU Bocconi a.a 2022-23

 

Se la richiesta verrà accolta:


> la tariffa agevolata sarà applicata a partire dalla seconda rata alloggio e non è previsto il conguaglio della prima rata alloggio già versata;
> il cambio di tariffazione sarà applicato esclusivamente se per l'a.a. 2022-23 il richiedente sarà risultato idoneo per la Borsa di Studio ISU Bocconi;
> il cambio di tariffazione sarà applicato soltanto se l’alloggio occupato per l’a.a. 2022-2023 rientri tra le tipologie previste anche a tariffa agevolata.

Si specifica che il cambio tariffazione sarà soggetto alla disponibilità di posti alloggio assegnabili a tariffa agevolata eventualmente disponibili successivamente alle precedenti domande di alloggio a tariffa agevolata oppure al termine del periodo di “Recesso anticipato”, entro il numero di posti letto così come definiti sul Bando di Concorso alloggi 2022-2023.

 

2. Nuova ammissione  in alloggio a tariffa agevolata per l'a.a. 2022-23

Questa richiesta potrà essere presentata esclusivamente da studenti:
-non assegnatari di un alloggio per l’a.a. 2022-2023
-risultati idonei per la Borsa di Studio ISU Bocconi a.a 2022-23

L'assegnazione delle camere, valida a partire da gennaio 2023, sarà soggetta alla disponibilità di posti alloggio assegnabili a tariffa agevolata entro il numero di posti letto cosi come definiti dal Bando di concorso alloggi 2022-2023. Per le assegnazioni saranno utilizzate le camere a tariffa agevolata rimaste libere successivamente alle precedenti domande di alloggio a tariffa agevolata (comprese le richieste di cambio tariffazione) o eventualmente disponibili al termine del periodo di “Recesso anticipato”.

Nel caso in cui il numero dei richiedenti superi il numero dei posti disponibili, l'assegnazione avverrà dando priorità a:
> fuori sede
> matricole
> importo dell'indicatore ISEE/ISEEU crescente"
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;;Presentazione della domanda;"La domanda potrà essere presentata nel periodo 2-16 novembre 2022 attraverso il link pubblicato di seguito:

Domanda online Open Reservation sessione di recupero

(domanda scaduta)

 

Prima di accedere alla domanda prendi visione dei documenti utili (Bando di Concorso Alloggi provvisorio a.a. 2022-23, Regolamento Residenze Bocconi a.a. 2022-23, Informativa privacy) disponibili al seguente link.

L’accesso sarà possibile con le credenziali Bocconi (username/matricola e password) e attraverso un unico dispositivo.
"
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;;Esiti;"L'esito della domanda di Open reservation - sessione di recupero sarà disponibile in My Application, all'interno della domanda online presentata, entro il 24 novembre 2022.

In caso di richiesta di cambio tariffazione con esito negativo per indisponibilità di posti alloggio assegnabili a tariffa agevolata (come specificato al punto 1) lo studente potrà presentare domanda di recesso anticipato entro e non oltre il 25 novembre 2022.

In caso di Nuova ammissione in alloggio a tariffa agevolata (sessione di recupero) con esito negativo per indisponibilità di posti alloggio assegnabili a tariffa agevolata, lo studente potrà presentare domanda di Open reservation a tariffa intera in data 1 dicembre 2022."
Alloggi on campus ;Check-in e check-out;Quando e come posso effettuare il check-in?;Quando e come posso effettuare il check-in?;"Dopo aver prenotato un alloggio e aver ricevuto conferma dell'assegnazione da parte dell'ufficio, sei pronto per il check-in! Segui gli step indicati di seguito, validi per tutte le assegnazioni alloggio:

1. Consulta l'esito della tua assegnazione cliccando sul pulsante ""esito / result"" in MyApplication

2. Procedi al pagamento della prima rata alloggi entro la scadenza indicata nell'esito, tramite MAV
(che trovi già o troverai in agenda you@B - questa informazione viene specificata nell'esito)

3. Compila la procedura di check-in online che troverai già ""in corso"" su MyApplication entro la scadenza indicata, che coincide con quella di pagamento della prima rata alloggi. La scadenza per il pagamento/check-in online viene sempre specificata nell'esito

4. Prendi possesso del tuo alloggio presentandoti direttamente alla reception a partire dalla data di inizio assegnazione; ti servirà solo un documento di identità in corso di validità.

Room check
Dopo aver effettuato il tuo ingresso in residenza, riceverai una email che ti invita a rientrare nella procedura online tramite MyApplication e compilare la sezione Room check del check-in online. E' molto importante che tu compili questa sezione, fornendo una valutazione dell'alloggio al tuo arrivo e segnalando eventuali anomalie o malfunzionamenti al gestore della residenza. Il gestore e gli uffici competenti prenderanno in esame quanto da te riportato e si adopereranno per migliorare il servizio.


Suggerimento: si consiglia di effettuare il check-in in residenza preferibilmente tra le ore 9:00 e le ore 17:00, così che lo staff della residenza possa garantire qualsiasi supporto necessario.
 

Check in estivo

Per tutti gli studenti che entreranno in residenza a fine agosto si specifica che:
>il MAV per il pagamento della prima rata alloggi sarà disponibile in agenda you@B nel corso del mese di luglio. Attenzione: per gli studenti di anni successivi al primo, per poter visualizzare il MAV in agenda è necessario prima completare l'iscrizione all'anno accademico di riferimento.

> Qualora sia stata caricata la ricevuta di pagamento ma la situazione finanziaria in Agenda yoU@B non sia ancora stata aggiornata (luce verde di fianco al relativo pagamento), sarà possibile comunque effettuare il check-in in residenza.

> N.B. Se sei uno studente ammesso al programma “Una Scelta Possibile”, all’interno dello spazio upload “Ricevuta pagamento prima rata_Payment receipt” carica la ""Domanda alloggio_Housing application"" a titolo gratuito già caricata all'interno della tua Special Programs Housing Application."
Alloggi on campus ;Check-in e check-out;Cosa devo fare in vista del check-out?;Cosa devo fare in vista del check-out?;"Il periodo di assegnazione standard nelle residenze Bocconi va da fine agosto (inizio anno accademico) a fine giugno. Il check out è previsto entro le ore 12 dell'ultimo giorno di assegnazione alloggio.

Al momento del check out, ogni studente deve liberare completamente l'appartamento e riconsegnare la chiave / tessera del proprio alloggio alla reception. 

Se non tornerai in residenza il prossimo anno, ma stai eseguendo il check-out definitivo, avrai diritto al rimborso del deposito cauzionale - fatte salve le casistiche in cui ciò non è previsto.

Il rimborso del deposito cauzionale verrà effettuato secondo le regole indicate nell'apposito articolo."
Alloggi on campus ;Check-in e check-out;Check-out estivo;Check-out estivo;"Il periodo di assegnazione standard nelle residenze Bocconi va da fine agosto a fine giugno e il check out è previsto entro le ore 12 dell'ultimo giorno di assegnazione dell'alloggio.

Al momento del check out ogni studente deve liberare completamente l'appartamento e riconsegnare la chiave/la tessera del proprio alloggio. 

Vengono dettagliate di seguito le eccezioni relative agli studenti che abbiano richiesto l'estensione dell'assegnazione alloggio per il mese di luglio e/o abbiano confermato l'alloggio per l'a.a. 2023-24.

 

> Se NON hai richiesto l'estensione della tua assegnazione alloggio per il mese di luglio e hai confermato la tua camera per il prossimo anno accademico:

Dovrai eseguire il check-out entro le ore 12 del 27 giugno 2023 lasciando l'alloggio completamente libero da ogni effetto personale e riconsegnando le chiavi alla reception. Anche se hai presentato domanda di conferma dell'alloggio per l'a.a. 2023-24, ti ricordiamo che la tua assegnazione per l'a.a. 2022-23 scade il 27 giugno 2023, dunque entro tale data dovrai liberare completamente l'alloggio da ogni effetto personale, per poi riprenderne possesso a partire da fine agosto.

Potrai lasciare le stoviglie ordinatamente riposte all'interno degli armadi della cucina comune interna all'appartamento.

Attenzione: non sarà possibile lasciare alcun materiale edibile all'interno degli alloggi; tutto il materiale rinvenuto dalla gestione della residenza sarà smaltito.

In caso di necessità ti suggeriamo di valutare servizi di deposito bagagli molto comuni a Milano, come ad esempio Boxok, Redbox Strage, Radical storage, Casaforte Milano. 

 

> Se hai richiesto l'estensione della tua assegnazione alloggio per il mese di luglio e hai confermato la tua camera per l'a.a. 2023-24.

Sei autorizzato a lasciare i tuoi effetti personali nella stanza, a condizione che essi siano ordinatamente riposti negli armadi e che nulla sia lasciato su mensole e ripiani.

Attenzione: non sarà possibile lasciare alcun materiale edibile all'interno degli alloggi; tutto il materiale rinvenuto dalla gestione della residenza sarà smaltito.

Ricordati che durante l'estate il gestore potrà effettuare interventi di tinteggiatura, pulizia e sanificazione e che l'università Bocconi e il gestore della residenza non potranno in alcun modo essere ritenuti responsabili per eventuali oggetti lasciati nell'alloggio.

 

> Se hai richiesto l'estensione della tua assegnazione alloggio per il mese di luglio e NON hai confermato la tua camera per l'a.a. 2023-24.

Esegui regolarmente il check-out entro le ore 12.00 del 29 luglio 2023 rimuovendo dall'alloggio tutti i tuoi effetti personali e consegnando le chiavi/la tessera alla reception."
Alloggi on campus ;Vivere le residenze;Calendario residenze e periodi di apertura straordinaria;Calendario residenze ;"Le residenze Bocconi per l'a.a. 2023-24 saranno aperte dal 20 agosto 2023 (dalle ore 7:00) al 27 giugno 2024 (check-out entro le ore 12:00 dell'ultimo giorno d'assegnazione).

Il periodo di assegnazione standard (20 agosto 2023 - 27 giugno 2024) risponde alle necessità accademiche della maggior parte degli studenti.

Ti consigliamo di effettuare il check-in in residenza preferibilmente tra le ore 9:00 e le ore 17:00, così che lo staff della Residenza possa garantirti qualsiasi supporto necessario.

Gli studenti interessati a rimanere in residenza durante:

il periodo di apertura natalizia (24/12/2023 - 03/01/2024)
il mese di luglio 2024 (fino al 28/07/2024)
dovranno presentare domanda online secondo le modalità indicate di seguito alla sezione ""Periodi di apertura straordinaria"".

Non ci sono limitazioni orarie di ingresso o di uscita per gli ospiti delle residenze. Ce ne sono, invece, per gli ospiti esterni, la cui presenza in residenza è consentita esclusivamente tra le ore 7:00 e le ore 24:00. "
Alloggi on campus ;Vivere le residenze;Calendario residenze e periodi di apertura straordinaria;PERIODI DI APERTURA STRAORDINARIA;"Di seguito le informazioni relative ai periodi di apertura straordinaria delle Residenze Bocconi per l’a.a. 2023-24.

 

Richiesta permanenza nel periodo di apertura natalizia (24 dicembre 2023 - 2 gennaio 2024)

Se intenderai alloggiare in residenza nel periodo di apertura natalizia (24 dicembre 2023 - 2 gennaio 2024), dovrai completare il modulo dedicato, disponibile su questa pagina a partire da metà novembre, e inviarlo all'ufficio.

Nel periodo 24 dicembre 2023 - 2 gennaio 2024 le Residenze garantiranno solo servizi minimi relativamente a portineria e pulizie. A seconda della numerosità dei presenti, alcune delle cucine comuni delle residenze potranno non essere fruibili. Si ricorda che durante tutto questo periodo è vietato l'accesso di ospiti esterni in residenza.

Richiesta permanenza nel mese di luglio 2024

Se intenderai rimanere in residenza anche nel mese di luglio 2023 (fino al 28 luglio 2023), dovrai completare l’apposita application disponibile dal 10 al 20 febbraio 2024. Il pagamento della mensilità di luglio sarà addebitato nella terza rata alloggio.


APPLICATION ONLINE
Richiesta permanenza in alloggio luglio 2024
(link disponibile nel periodo dedicato)"
Alloggi on campus ;Vivere le residenze;Sono previsti periodi di chiusura delle residenze durante l'anno?;Sono previsti periodi di chiusura delle residenze durante l'anno?;"Durante il periodo di assegnazione standard (da fine agosto a fine giugno) non sono previsti periodi di chiusura. Di seguito trovi alcune informazioni utili relativamente ai periodi di apertura/chiusura delle residenze:   

Periodo natalizio
Su richiesta, è possibile rimanere in residenza anche durante il periodo delle festività natalizie: le residenze infatti rimarranno aperte pur garantendo servizi minimi. Per presentare richiesta di permanenza durante questo periodo di apertura straordinaria, verifica le informazioni necessarie sul sito.

Chiusura estiva
Durante il periodo di chiusura estiva la gestione della residenza porterà a termine tutti gli interventi di manutenzione ordinaria e straordinaria necessari nelle camere, negli appartamenti e nelle zone comuni. Al momento del check-out, anche se hai presentato domanda di conferma alloggio per il prossimo anno accademico, dovrai liberare completamente la camera.

Nota: Solo gli studenti che avranno presentato apposita richiesta di assegnazione per il mese di luglio (application dedicata nel mese di febbraio) potranno lasciare i propri effetti personali in camera: in questo caso ti invitiamo a non lasciare in residenza effetti personali o altro materiale di valore, e di riporre ordinatamente all’interno degli armadi tutto ciò che intendi lasciare nella tua camera. Ti ricordiamo che l’Università Bocconi e la Gestione della residenza non rispondono di eventuali oggetti di valore lasciati incustoditi nelle camere."
Alloggi on campus ;Vivere le residenze;Tipologia di camere e dotazioni previste;Tipologia di camere e dotazioni previste;"Nelle residenze Bocconi sono disponibili diverse tipologie di alloggio: le camere sono sempre singole, ma possono avere bagno privato o in condivisione, trovarsi all’interno di appartamenti da 2 o 4 posti oppure no. Ti invitiamo a verificare le diverse tipologie di alloggi disponibili sul sito.

Dotazioni
Tutte le camere sono arredate con letto, scrivania, armadio e sono dotate di mini-bar e connessione wi-fi. Sono forniti inoltre, coperte, lenzuola, federe e asciugamani: il cambio biancheria e la pulizia delle camere sono settimanali.

Cucine
Qualunque sia la tipologia di camera a te assegnata, avrai sempre la possibilità di accedere a una cucina per preparare i tuoi pasti in autonomia. Se hai una stanza singola puoi utilizzare le cucine comuni, se invece la tua stanza si trova all’interno di un appartamento puoi usufruire della cucina dell’appartamento, dotata di piastre a induzione, frigorifero e forno a microonde. Le residenze Bocconi non prevedono la dotazione di piatti, bicchieri o altre suppellettili da cucina: puoi decidere di portarle da casa prima di arrivare, anche se ti suggeriamo di attendere il tuo arrivo in residenza per poterti organizzare condividendo l’acquisto o l’uso del materiale con i tuoi compagni. Nei dintorni delle residenze troverai supermercati e altri negozi attrezzati dove potrai acquistare da solo o in condivisione tutto ciò di cui hai bisogno. Tutte le cucine presenti nelle residenze Bocconi sono dotate di fornelli a induzione, pertanto sarà possibile utilizzare solo pentole e padelle dotate del simbolo."
Alloggi on campus ;Vivere le residenze;Tipologia di camere e dotazioni previste;Sono presenti locali lavanderia?;"Lavatrici e asciugatrici automatiche sono presenti in tutte le residenze. Costi e modalità di utilizzo sono illustrati nei singoli locali lavanderia delle nostre residenze. Molte delle lavatrici sono dotate di un sistema automatico di dosaggio del sapone, che oltre a facilitare l’uso, si traduce in una significativa riduzione dei contenitori di plastica dei detersivi: l’ambiente ti ringrazia! Le residenze non sono invece dotate di ferri o assi da stiro; nelle vicinanze dell’Università e delle residenze troverai comunque tante lavanderie alle quali potrai rivolgerti qualora ne avessi necessità."
Alloggi on campus ;Vivere le residenze;Pulizia dell'alloggio;Pulizia dell'alloggio;"La pulizia delle aree comuni degli appartamenti, dei bagni e delle camere avviene una volta a settimana. Di norma le pulizie delle camere e degli appartamenti avvengono per piano: al tuo arrivo verifica in quale giorno verranno effettuate nel tuo alloggio. In particolare, vengono effettuati: pulizia dei bagni, pulizia della cucina e della zona giorno, cambio biancheria (lenzuola e asciugamani), rifacimento letti. Per consentire agli addetti di eseguire una pulizia adeguata, ti consigliamo di tenere il più possibile la stanza ordinata.

Ti saranno forniti: coperta, lenzuola e asciugamani per il viso. Se preferisci, puoi comunque portare la tua biancheria personale, che dovrai provvedere a lavare/cambiare in autonomia. Si ricorda che il personale potrà procedere alla pulizia degli alloggi a condizione che essi siano in ordine.

Il servizio di pulizia delle zone comuni della Residenza è invece giornaliero."
Alloggi on campus ;Vivere le residenze;Raccolta differenziata;Raccolta differenziata;"L’Università Bocconi è da sempre impegnata nella promozione della cultura GREEN e del rispetto dell’ambiente tramite progetti e iniziative volte a raggiungere obiettivi quali il corretto smaltimento dei rifiuti, la riduzione della plastica e della carta, l’efficienza energetica.

È nel tuo stesso interesse, all’interno della Residenza gestire e smaltire correttamente i rifiuti.

A Milano vengono distinte 5 frazioni:

organico – contenitore marrone
carta e cartone – contenitore bianco
vetro – contenitore verde
plastica e metallo – sacco giallo
rifiuto indifferenziato – contenitore nero
Se non sei sicuro di come effettuare la raccolta differenziata, dedica due minuti a leggere le informazioni riportate sul sito AMSA - Azienda Milanese per i Servizi Ambientali.

Sul sito dell'Università, trovi maggiori dettagli relativi alla sostenibilità ambientale nelle residenze"
Alloggi on campus ;Vivere le residenze;Ho problemi tecnici nella mia stanza/appartamento. Cosa devo fare?;Ho problemi tecnici nella mia stanza/appartamento. Cosa devo fare?;"Per qualsiasi necessità di intervento tecnico nella tua camera o appartamento ma anche nelle zone comuni della residenza, è necessario compilare un’apposita richiesta sul portale online dedicato: http://residenze.unibocconi.it.

In questo modo, la gestione della residenza potrà essere informata della tua richiesta e prenderla in carico, al fine di risolvere il problema nel più breve tempo possibile. Ricorda che i portieri delle residenze Bocconi non sono autorizzati a raccogliere segnalazioni verbali da parte degli ospiti.

 

Cosa fare se il problema persiste o non è stato risolto?
Prendi visione delle comunicazioni che la gestione potrebbe aver inserito sul portale dedicato in merito alla tua richiesta di intervento: infatti a volte le tempistiche di risoluzione del problema possono dipendere anche da fattori esterni, come ad esempio la fornitura di pezzi di ricambio. Se il problema persiste, puoi rivolgerti allo staff della gestione della residenza per aggiornamenti."
Alloggi on campus ;Vivere le residenze;Ho problemi tecnici nella mia stanza/appartamento. Cosa devo fare?;Cosa fare se il problema persiste o non è stato risolto?;Prendi visione delle comunicazioni che la gestione potrebbe aver inserito sul portale dedicato in merito alla tua richiesta di intervento: infatti a volte le tempistiche di risoluzione del problema possono dipendere anche da fattori esterni, come ad esempio la fornitura di pezzi di ricambio. Se il problema persiste, puoi rivolgerti allo staff della gestione della residenza per aggiornamenti.
Alloggi on campus ;Vivere le residenze;Regolamento delle residenze Bocconi: norme di comportamento;Regolamento delle residenze Bocconi: norme di comportamento;Per vivere serenamente la propria esperienza all’interno delle residenze, è necessario che tutti gli ospiti siano a conoscenza delle norme contenute nel Regolamento delle residenze Bocconi e che le rispettino. Il Regolamento viene letto e sottoscritto da ogni ospite in fase di accettazione dell’alloggio. La violazione di una o più norme del Regolamento può comportare provvedimenti disciplinari, fino all’espulsione dalla residenza. Consulta online il Regolamento residenze Bocconi e trova di seguito le risposte ad alcune domande frequenti:
Alloggi on campus ;Vivere le residenze;Regolamento delle residenze Bocconi: norme di comportamento;Ci sono limitazioni orarie per l'ingresso in residenza? C'è un coprifuoco?;Non ci sono limitazioni orarie di ingresso o di uscita per gli studenti assegnatari di posto alloggio nelle residenze.
Alloggi on campus ;Vivere le residenze;Regolamento delle residenze Bocconi: norme di comportamento;La reception è aperta 24H?;"In tutte le Residenze Bocconi è attiva 24 ore su 24 una reception, dove è possibile effettuare il check-in e ricevere le chiavi della propria stanza. Per completare le operazioni di consegna chiavi sarà necessario presentarsi in reception con un documento di identità in corso di validità.
Al termine della permanenza, dopo aver liberato la stanza da tutti i propri effetti personali, le chiavi andranno riconsegnate alla reception."
Alloggi on campus ;Vivere le residenze;Regolamento delle residenze Bocconi: norme di comportamento;Posso ospitare parenti o amici?;"Se lo desideri, puoi invitare ospiti esterni nella tua camera o appartamento, facendo attenzione a rispettare alcune condizioni essenziali riportate di seguito:

la presenza di ospiti esterni in residenza è consentita esclusivamente tra le ore 7.00 e le ore 24.00;
all'arrivo dell'ospite esterno, il residente viene avvisato telefonicamente e deve recarsi alla reception, dove dovrà compilare l'apposito registro indicando nome, cognome del proprio ospite e anche numero di matricola se bocconiano. Qualora vi fossero più ospiti contemporaneamente, il residente avrà cura di compilare una riga del registro per ogni ospite esterno. Il residente dovrà infine apporre la propria firma sul registro;
 l'ospite esterno firma e deposita in reception un documento di identità (carta di identità, passaporto o patente), che potrà ritirare all'uscita. A questo punto è autorizzato a entrare in residenza;
all'uscita, l'ospite esterno si reca in reception per ritirare il proprio documento di identità e firmare il registro;
l'ospite esterno - così come il residente - si impegna a un comportamento civile e rispettoso, in particolar modo assicurandosi di non recare disturbo ai coinquilini o ad altri residenti;
il residente è sempre responsabile di qualunque comportamento non corretto o violazione del Regolamento da parte dell'ospite esterno."
Alloggi on campus ;Vivere le residenze;Regolamento delle residenze Bocconi: norme di comportamento;Non mi trovo bene con i miei coinquilini, cosa posso fare?;La convivenza richiede rispetto reciproco e capacità di adattamento ad abitudini e stili di vita diversi. È dunque normale che possano sorgere delle incomprensioni tra coinquilini. In questi casi, il dialogo è la soluzione: cerca di trovare un momento adatto e i giusti toni per confrontarti con i tuoi coinquilini in maniera costruttiva, trovando un punto di incontro sulle questioni che vi dividono.
Alloggi on campus ;Vivere le residenze;Regolamento delle residenze Bocconi: norme di comportamento;È possibile inviare/ricevere pacchi in residenza?;Sì, è possibile, ma solo dopo aver effettuato il check-in.
Alloggi on campus ;Vivere le residenze;Rappresentanti di residenza;Rappresentanti di residenza;"Per ognuna delle residenze universitarie Bocconi, gli studenti ospiti hanno la possibilità di eleggere due rappresentanti di Residenza che saranno i loro referenti all'interno della Residenza e gestiranno le richieste di utilizzo del fondo per le attività del tempo libero. 

Gli attuali Rappresentanti delle Residenze Bocconi, in carica fino a settembre 2023, sono elencati di seguito:

 

Residenza

Rappresentanti

BLIGNY

Giovanni Barbaro, Rocco Totaro

BOCCONI

Francesco Citti, Flavia Villar Notario

CASTIGLIONI

Antonio Diciolla, Tomas Rosso

DUBINI

Stefano Graziosi, Martina Giametta

ISONZO

Alessandra Massaro, Giuseppe Liotta

JAVOTTE

Giorgio Armillis, Giulio Belardinelli 

SPADOLINI

Camilla Raspino, Andrea Torre
 

Se sei interessato a ricoprire il ruolo di Rappresentante di residenza, puoi fare riferimento al Regolamento elezione rappresentanti delle Residenze.

Inoltre, ti suggeriamo di confrontarti preventivamente con i rappresentanti in carica, per conoscere la loro esperienza e comprendere a fondo l’importanza del ruolo.


L'elezione dei rappresentanti della Residenza si tiene ogni anno il primo martedì di ottobre.

Di seguito si riassumono le principali scadenze relative all’elezione dei rappresentanti di Residenza."
Alloggi on campus ;Vivere le residenze;Rappresentanti di residenza;Principali scadenze;"Presentazione delle candidature individuali

Entro il 20 settembre

Invio all'ufficio Fees, Funding and Housing da parte
dei rappresentanti uscenti dell'elenco completo dei candidati per ogni residenza

21 settembre

Elezione dei rappresentanti delle residenze

primo martedì di ottobre dalle ore 8.00 alle 19.00"
Alloggi on campus ;Vivere le residenze;Posso chiedere di cambiare camera o residenza?;Posso chiedere di cambiare camera o residenza?;"Non è possibile richiedere di cambiare stanza o residenza, poiché il numero di posti disponibili nelle residenze è limitato e per questo motivo non sarebbe possibile soddisfare tutte le richieste di questo tipo. Se qualche aspetto tecnico del tuo alloggio non ti soddisfa o se hai necessità di interventi di manutenzione puoi rivolgerti alla gestione che farà tutto il possibile per risolvere eventuali malfunzionamenti o altre problematiche riscontrate.

Suggerimento: Se non ti sei trovato/a bene nell'alloggio assegnato e vorresti cambiarlo, puoi attendere la fine della tua assegnazione, non presentare domanda di conferma per l'anno accademico successivo e invece presentare domanda di nuova ammissione in una delle possibilità di application previste, in modo tale da poter concorrere per l'assegnazione di un nuovo alloggio. "
Alloggi on campus ;Vivere le residenze;Avrei bisogno di usufruire del servizio di parcheggio in residenza. Come funziona?;Avrei bisogno di usufruire del servizio di parcheggio in residenza. Come funziona?;"Presso le Residenze Spadolini, Dubini e Isonzo sono disponibili posti auto/moto di cui si potrà usufruire in base alle seguenti tariffe e tempistiche di pagamento:


Tariffa relativa al periodo Settembre - Dicembre 2023: 205,00 €
Tempistiche di pagamento: dal 05/09/2023 al 25/09/2023


Tariffa relativa al periodo Gennaio – Giugno 2024: 300,00 €
Tempistiche di pagamento: dal 09/01/2024 al 22/01/2024

 

Il parcheggio è riservato solo agli assegnatari di alloggio in una delle residenze in cui lo stesso è situato previa verica della disponibilità direttamente con il personale addetto alla reception della Residenza. Lo studente che non sarà più assegnatario di alloggio, non potrà parcheggiare il proprio mezzo in residenza, e non avrà diritto al rimborso di quanto eventualmente già pagato.

Il pagamento dei parcheggi potrà essere effettuato esclusivamente nel periodo indicato sopra e attraverso il seguente link:


Acquisto parcheggio

(link disponibile a partire dal 5 settembre 2023)

Si precisa che i garage non sono custoditi e pertanto l'Università Bocconi e la Gestione delle Residenze declinano ogni responsabilità per furti e danneggiamenti di qualsiasi genere alle autovetture parcheggiate e a quanto in essi contenuto."
Alloggi on campus ;Recesso e rinuncia;Vorrei lasciare l’alloggio anticipatamente rispetto al termine dell’assegnazione. Come posso fare?;Vorrei lasciare l’alloggio anticipatamente rispetto al termine dell’assegnazione. Come posso fare?;"Accettando l'alloggio, ti impegni sempre al pagamento:

della retta per l'intero periodo concordato;
del contributo per il tempo libero;
del deposito cauzionale che verrà restituito solamente al termine del periodo concordato
L'Università Bocconi concede la facoltà di lasciare anticipatamente l'alloggio e recedere dall'impegno di tale pagamento esclusivamente nei previsti casi di:


Rinuncia

Recesso

 

Vi possono essere casi in cui è l’Ufficio a dover revocare o cancellare l’assegnazione:

Revoca

Cancellazione"
Alloggi on campus ;Recesso e rinuncia;Se non occupo più il mio alloggio e voglio cancellare l’assegnazione in un momento non esplicitamente previsto dalle casistiche di recesso, posso farlo? Verrò rimborsato?;Se non occupo più il mio alloggio e voglio cancellare l’assegnazione in un momento non esplicitamente previsto dalle casistiche di recesso, posso farlo? Verrò rimborsato?;Puoi usufruire del tuo alloggio liberamente e non occuparlo se desideri, tuttavia dal punto di vista amministrativo la tua assegnazione può essere cancellata esclusivamente per le motivazioni e nelle finestre temporali esplicitamente previste dal recesso, come da te accettato e sottoscritto in fase di domanda alloggio.
Alloggi on campus ;Recesso e rinuncia;Ho effettuato il recesso al 24 dicembre. Posso ottenere una nuova assegnazione in una delle residenze Bocconi? In questo caso, dovrò versare un nuovo deposito cauzionale?;Ho effettuato il recesso al 24 dicembre. Posso ottenere una nuova assegnazione in una delle residenze Bocconi? In questo caso, dovrò versare un nuovo deposito cauzionale?;"Se hai effettuato il recesso ma durante lo stesso anno accademico desideri ottenere una nuova assegnazione in una delle residenze, potrai presentare richiesta in una delle sessioni Open reservation che si svolgeranno durante l'anno.

In questo caso, non sarai tenuto al versamento di un nuovo deposito cauzionale, quello da te versato per la precedente assegnazione dello stesso anno accademico sarà considerato valido.

Se invece vorrai ottenere una nuova assegnazione di alloggio per l’a.a. successivo, dovrai presentare richiesta in una delle possibilità che saranno previste per quell’anno accademico e ti sarà richiesto il versamento di un nuovo deposito cauzionale."
